S.No,name,title,male,culture,dateOfBirth,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,popularity,isAlive
1,Viserys II Targaryen,,1,,,Rhaenyra Targaryen,Daemon Targaryen,Aegon IV Targaryen,,,0,0,0,0,0,1.0,0.0,0.0,,0,0,,11,0.605351170568561,0
2,Walder Frey,Lord of the Crossing,1,Rivermen,208.0,,,,House Frey,Perra Royce,1,1,1,1,1,,,,1.0,1,1,97.0,1,0.896321070234113,1
3,Addison Hill,Ser,1,,,,,,House Swyft,,0,0,0,1,0,,,,,0,1,,0,0.267558528428093,1
4,Aemma Arryn,Queen,0,,82.0,,,,House Arryn,Viserys I Targaryen,0,0,0,0,0,,,,0.0,1,1,23.0,0,0.183946488294314,0
5,Sylva Santagar,Greenstone,0,Dornish,276.0,,,,House Santagar,Eldon Estermont,0,0,0,1,0,,,,1.0,1,1,29.0,0,0.0434782608695652,1
6,Tommen Baratheon,,1,,,Cersei Lannister,Robert Baratheon,Myrcella Baratheon,,,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,1.0,1
7,Valarr Targaryen,Hand of the King,1,Valyrian,183.0,,,,House Targaryen,Kiera of Tyrosh,0,0,0,0,0,,,,1.0,1,1,26.0,0,0.431438127090301,0
8,Viserys I Targaryen,,1,,,Alyssa Targaryen,Baelon Targaryen,Rhaenyra Targaryen,,,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,0.678929765886287,0
9,Wilbert,Ser,1,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0.0066889632107023,0
10,Wilbert Osgrey,Ser,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,1,,0,0.020066889632107,1
11,Will,,1,,,,,,Night's Watch,,1,1,0,0,0,,,,,0,0,,0,0.163879598662207,0
12,Will (orphan),,0,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.0033444816053511,1
13,Will (squire),,1,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.0033444816053511,1
14,Will (Standfast),,0,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0.0033444816053511,1
15,Will (Treb),,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0.0033444816053511,1
16,Will Humble,,1,Ironborn,,,,,House Humble,,0,0,0,1,0,,,,,0,0,,0,0.0133779264214046,1
17,Willam,,1,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.0133779264214046,1
18,Willem Wylde,Ser,1,,,,,,House Wylde,,0,0,0,0,0,,,,,0,1,,0,0.020066889632107,1
19,Willifer,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.0066889632107023,1
20,Willit,,1,,,,,,House Swyft,,0,1,0,0,0,,,,,0,0,,0,0.0100334448160535,1
21,Willis Wode,Ser,1,,,,,,House Wode,,1,0,0,1,0,,,,,0,1,,0,0.020066889632107,1
22,Willis Fell,Ser,0,,,,,,House Fell,,0,0,0,0,0,,,,,0,1,,0,0.0234113712374581,1
23,Willow Heddle,,0,,289.0,,,,Brotherhood Without Banners,,0,0,0,1,0,,,,,0,0,16.0,0,0.0334448160535117,1
24,Willum,Ser,1,,,,,,,,1,0,0,0,0,,,,,0,1,,0,0.0,1
25,Wolmer,,1,,,,,,House Webber,,0,0,0,0,0,,,,,0,0,,0,0.0033444816053511,1
26,Willow Witch-eye,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.0501672240802675,0
27,Woth,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.0301003344481605,0
